epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,30.944292068481445,3.5472261905670166,30.944292068481445,372.0406799316406,14.975829124450684,372.0406799316406
1,18.391374588012695,2.8185935020446777,18.391374588012695,356.465576171875,14.794597625732422,356.465576171875
2,17.534229278564453,2.758183479309082,17.534229278564453,266.1308288574219,12.62001895904541,266.1308288574219
3,17.31098175048828,2.7214174270629883,17.31098175048828,161.6198272705078,9.563238143920898,161.6198272705078
4,16.775222778320312,2.6774637699127197,16.775222778320312,171.87783813476562,9.814353942871094,171.87783813476562
5,16.185317993164062,2.6158180236816406,16.185317993164062,150.1619415283203,9.079705238342285,150.1619415283203
6,15.795464515686035,2.583578586578369,15.795464515686035,116.27586364746094,8.020726203918457,116.27586364746094
7,15.56513500213623,2.5536391735076904,15.56513500213623,125.3727035522461,8.297080993652344,125.3727035522461
8,14.999116897583008,2.500469446182251,14.999116897583008,113.39546203613281,7.902737617492676,113.39546203613281
9,15.052077293395996,2.4885807037353516,15.052077293395996,98.7911376953125,7.335549831390381,98.7911376953125
10,14.68566608428955,2.4563217163085938,14.68566608428955,104.62409210205078,7.56290340423584,104.62409210205078
11,13.937546730041504,2.38785719871521,13.937546730041504,104.47858428955078,7.534926891326904,104.47858428955078
12,13.976120948791504,2.3854494094848633,13.976120948791504,86.2610855102539,6.9058613777160645,86.2610855102539
13,13.52502727508545,2.334228277206421,13.52502727508545,98.36003112792969,7.354773044586182,98.36003112792969
14,13.188074111938477,2.3113012313842773,13.188074111938477,54.01714324951172,5.629884243011475,54.01714324951172
15,12.882142066955566,2.2608642578125,12.882142066955566,65.23681640625,6.128882884979248,65.23681640625
16,12.330644607543945,2.2030224800109863,12.330644607543945,69.67068481445312,6.270091533660889,69.67068481445312
17,12.079800605773926,2.179760694503784,12.079800605773926,77.00735473632812,6.6150312423706055,77.00735473632812
18,11.99944019317627,2.1681408882141113,11.99944019317627,67.64774322509766,6.280462265014648,67.64774322509766
19,11.503104209899902,2.1124179363250732,11.503104209899902,48.402122497558594,5.358274936676025,48.402122497558594
20,11.332168579101562,2.086872100830078,11.332168579101562,68.32154846191406,6.271017551422119,68.32154846191406
21,11.079246520996094,2.064274787902832,11.079246520996094,56.43069076538086,5.829376697540283,56.43069076538086
22,10.696049690246582,2.0253336429595947,10.696049690246582,57.10784912109375,5.82589864730835,57.10784912109375
23,10.656853675842285,2.011151075363159,10.656853675842285,58.20481491088867,5.9383697509765625,58.20481491088867
24,10.238554000854492,1.9713538885116577,10.238554000854492,48.315879821777344,5.459639072418213,48.315879821777344
