epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,19.736108779907227,3.0158474445343018,19.736108779907227,9.531805992126465,2.4006311893463135,9.531805992126465
1,14.865169525146484,2.558267116546631,14.865169525146484,4.023730754852295,1.7587306499481201,4.023730754852295
2,14.387237548828125,2.5333595275878906,14.387237548828125,4.269200325012207,1.7475740909576416,4.269200325012207
3,13.9287691116333,2.4828362464904785,13.9287691116333,6.2394022941589355,2.3163840770721436,6.2394022941589355
4,13.998586654663086,2.4824726581573486,13.998586654663086,2.088803768157959,1.1977484226226807,2.088803768157959
5,13.287064552307129,2.4153389930725098,13.287064552307129,5.195034980773926,2.0435168743133545,5.195034980773926
6,12.85893726348877,2.3689820766448975,12.85893726348877,3.7540218830108643,1.6324937343597412,3.7540218830108643
7,12.840627670288086,2.3709254264831543,12.840627670288086,6.992590427398682,2.4275882244110107,6.992590427398682
8,12.162919998168945,2.2895925045013428,12.162919998168945,2.9331305027008057,1.3721953630447388,2.9331305027008057
9,12.394545555114746,2.308077335357666,12.394545555114746,6.400686740875244,2.2980754375457764,6.400686740875244
